listing_type,state_code,property_type,address,suburb_name,postcode,bedrooms,list_date
rent,ACT,house,17 Heazlett Street,Paddys River,2620,4,22/2/2023
rent,ACT,house,23 Currie Crescent,Paddys River,2620,4,22/2/2023
rent,ACT,house,31 Murray St,Paddys River,2620,3,22/2/2023
rent,ACT,unit,2/110-112 Fergus Road,Paddys River,2620,1,22/2/2023
rent,ACT,apartment,1A/38 Oakden Street,Greenway,2900,1,22/2/2023
rent,ACT,apartment,1A/26 Cynthia Teague Crescent,Greenway,2900,1,22/2/2023
rent,ACT,apartment,2A/34 Oakden Street,Greenway,2900,2,22/2/2023
rent,ACT,apartment,2C/34 Oakden Street,Greenway,2900,2,22/2/2023
rent,ACT,apartment,9/15 Berrigan Crescent,O'Connor,2602,1,22/2/2023
rent,ACT,house,71a Willoughby Road,Central,2601,2,22/2/2023
rent,ACT,villa,20B Charles Kay Drive,Central,2601,1,22/2/2023
rent,ACT,house,46 Wall Road,Central,2601,3,22/2/2023
rent,ACT,apartment,5/46-48 Ocean Parade,Central,2601,2,22/2/2023
rent,ACT,house,163a Woy Woy Road,Central,2601,1,22/2/2023
rent,ACT,house,48a Spring Valley Ave,Central,2601,2,22/2/2023
rent,ACT,house,44a  Northcott Avenue,Central,2601,2,22/2/2023
rent,ACT,house,4/33-35 Crossingham Street,Central,2601,2,22/2/2023
rent,ACT,house,3/43 Rain Forest Road,Central,2601,3,22/2/2023
rent,ACT,house,40 Springfield Road,Central,2601,3,22/2/2023
rent,ACT,house,25 Weemala Street,Central,2601,3,22/2/2023
rent,ACT,house,9a Marmion St,Central,2601,3,22/2/2023
rent,ACT,unit,14/9 Broadview Avenue,Central,2601,3,22/2/2023
rent,ACT,townhouse,11/86 Hastings Road,Central,2601,2,22/2/2023
rent,ACT,house,57 Highview Road,Central,2601,1,22/2/2023
rent,ACT,villa,1/5 Victoria Street,Central,2601,3,22/2/2023
rent,ACT,house,56 Fishermans Parade,Central,2601,4,22/2/2023
rent,ACT,house,60 Malinya Road,Central,2601,3,22/2/2023
rent,ACT,house,32 Narrawa Avenue,Central,2601,3,22/2/2023
rent,ACT,house,12 The Palisade,Central,2601,3,22/2/2023
rent,ACT,house,2 Florida Street,Central,2601,4,22/2/2023
rent,ACT,house,21 VIOLET ROAD,Central,2601,3,22/2/2023
rent,ACT,house,1/28 Courigal St,Central,2601,3,22/2/2023
rent,ACT,unit,7a Alma Avenue,Central,2601,2,22/2/2023
rent,ACT,house,70 Manns Road,Central,2601,2,22/2/2023
rent,ACT,house,1/14 Yarto Close,Central,2601,1,22/2/2023
rent,ACT,house,135A Wallarah Road,Central,2601,1,22/2/2023
