iter	Passed	Remaining
573	23905	17741
574	23948	17701
575	23988	17658
576	24027	17614
577	24065	17570
578	24113	17533
579	24154	17491
580	24196	17449
581	24235	17406
582	24274	17362
583	24315	17320
584	24354	17277
585	24398	17236
586	24437	17193
587	24479	17152
588	24520	17109
589	24559	17066
590	24601	17025
591	24642	16983
592	24684	16942
593	24724	16898
594	24765	16857
595	24812	16818
596	24852	16776
597	24893	16734
598	24932	16691
599	24970	16647
600	25010	16604
601	25049	16560
602	25088	16517
603	25130	16476
604	25169	16432
605	25207	16389
606	25247	16346
607	25287	16303
608	25325	16259
609	25363	16216
610	25403	16173
611	25445	16131
612	25485	16089
613	25528	16049
614	25572	16008
615	25612	15966
616	25652	15923
617	25691	15880
618	25730	15837
619	25770	15795
620	25807	15750
621	25846	15707
622	25886	15664
623	25925	15621
624	25964	15578
625	26003	15535
626	26041	15492
627	26080	15448
628	26119	15405
629	26159	15363
630	26201	15322
631	26240	15279
632	26278	15235
633	26315	15191
634	26356	15149
635	26393	15105
636	26433	15063
637	26478	15023
638	26515	14980
639	26554	14936
640	26595	14895
641	26634	14852
642	26675	14810
643	26717	14769
644	26756	14726
645	26796	14684
646	26837	14642
647	26880	14601
648	26918	14558
649	26957	14515
650	26996	14472
651	27035	14429
652	27075	14387
653	27113	14344
654	27151	14301
655	27195	14261
656	27237	14220
657	27275	14176
658	27315	14134
659	27353	14091
660	27392	14048
661	27429	14004
662	27468	13962
663	27511	13921
664	27551	13879
665	27591	13837
666	27650	13804
667	27690	13762
668	27727	13718
669	27765	13675
670	27806	13634
671	27845	13591
672	27883	13547
673	27925	13506
674	27963	13463
675	28004	13422
676	28043	13379
677	28082	13337
678	28124	13295
679	28162	13253
680	28201	13210
681	28242	13168
682	28283	13127
683	28322	13084
684	28359	13041
685	28397	12998
686	28436	12955
687	28478	12914
688	28517	12872
689	28558	12830
690	28603	12790
691	28641	12747
692	28679	12705
693	28720	12663
694	28758	12620
695	28795	12577
696	28832	12534
697	28872	12491
698	28915	12451
699	28954	12409
700	28995	12367
701	29035	12325
702	29075	12283
703	29117	12242
704	29155	12199
705	29196	12158
706	29234	12115
707	29273	12073
708	29310	12030
709	29350	11988
710	29389	11945
711	29427	11903
712	29469	11862
713	29507	11819
714	29546	11777
715	29585	11735
716	29627	11693
717	29665	11651
718	29704	11609
719	29743	11566
720	29783	11525
721	29822	11482
722	29860	11440
723	29898	11397
724	29938	11355
725	29977	11313
726	30017	11272
727	30059	11231
728	30099	11189
729	30137	11146
730	30179	11105
731	30221	11064
732	30262	11023
733	30303	10982
734	30345	10940
735	30386	10899
736	30424	10857
737	30464	10815
738	30504	10773
739	30546	10732
740	30586	10690
741	30627	10649
742	30672	10609
743	30712	10567
744	30753	10526
745	30793	10484
746	30832	10442
747	30872	10400
748	30914	10359
749	30954	10318
750	31003	10279
751	31042	10237
752	31083	10196
753	31124	10154
754	31163	10112
755	31202	10070
756	31241	10028
757	31282	9987
758	31321	9945
759	31360	9903
760	31397	9860
761	31436	9818
762	31475	9776
763	31514	9734
764	31553	9692
765	31595	9651
766	31636	9610
767	31678	9569
768	31726	9530
769	31771	9490
770	31820	9451
771	31869	9412
772	31910	9370
773	31950	9329
774	31989	9287
775	32029	9245
776	32069	9203
777	32111	9162
778	32149	9120
779	32190	9079
780	32232	9038
781	32268	8995
782	32305	8953
783	32342	8910
784	32377	8867
785	32416	8825
786	32459	8785
787	32502	8744
788	32545	8703
789	32590	8663
790	32634	8622
791	32677	8581
792	32722	8541
793	32774	8503
